,Origin ISO,Destination ISO,Religious similarity
1086,ALB,PHL,0.37228422
1087,ALB,PLW,0.28099187
1088,ALB,PNG,0.24317564000000003
1089,ALB,POL,0.32233598999999996
1090,ALB,PRI,0.274893
1091,ALB,PRK,0.10090375
1092,ALB,PRT,0.3085522299999999
1093,ALB,PRY,0.32473238
1094,ALB,PSE,1.0738363200000003
1095,ALB,PYF,0.228528
1096,ALB,QAT,0.57115658
1097,ALB,REU,0.297302
1098,ALB,ROU,0.2831781300000001
1099,ALB,RUS,0.37401540999999994
1100,ALB,RWA,0.32309608
1101,ALB,SAU,1.131347
1102,ALB,SDN,0.89698686
1103,ALB,SEN,1.16106496
1104,ALB,SGP,0.15624476
1105,ALB,SHN,0.1800078
1106,ALB,SLB,0.22041844
1107,ALB,SLE,0.7243661
1108,ALB,SLV,0.2783256
1109,ALB,SMR,0.31067603
1110,ALB,SOM,1.2183334499999998
1111,ALB,SPM,0.34224299999999996
1112,ALB,SRB,0.27907509999999996
1113,ALB,SSD,0.16877199999999998
1114,ALB,STP,0.32294979
1115,ALB,SUR,0.2563284
1116,ALB,SVK,0.2668969
1117,ALB,SVN,0.30214799999999997
1118,ALB,SWE,0.26513282000000005
1119,ALB,SWZ,0.20987651000000002
1120,ALB,SXM,0.22936060000000003
1121,ALB,SYC,0.3183035
1122,ALB,SYR,1.03793528
1123,ALB,TCA,0.199588
1124,ALB,TCD,0.7653687600000001
1125,ALB,TGO,0.31357221
1126,ALB,THA,0.12044155
1127,ALB,TJK,1.0880136999999999
1128,ALB,TKL,0.25139849999999997
1129,ALB,TKM,1.1218034399999999
1130,ALB,TLS,0.34181423
1131,ALB,TON,0.22440543000000002
1132,ALB,TTO,0.20071050999999998
1133,ALB,TUN,1.21315085
1134,ALB,TUR,1.2143529000000002
1135,ALB,TUV,0.21096455
1136,ALB,TWN,0.035789
1137,ALB,TZA,0.5525777199999999
1138,ALB,UGA,0.37690196
1139,ALB,UKR,0.26961855999999995
1140,ALB,URY,0.26679406
1141,ALB,USA,0.23435175
1142,ALB,UZB,1.1545485300000002
1143,ALB,VCT,0.27646694
1144,ALB,VEN,0.31596639
1145,ALB,VGB,0.19886890000000002
1146,ALB,VIR,0.2446976
1147,ALB,VNM,0.07100300000000001
1148,ALB,VUT,0.20309417
1149,ALB,WLF,0.34224299999999996
1150,ALB,WSM,0.23215438
1151,ALB,YEM,0.9669000000000001
1152,ALB,ZAF,0.21850071999999998
1153,ALB,ZMB,0.24268106999999997
1154,ALB,ZWE,0.22260874
1155,AND,ABW,1.3924857
1156,AND,AFG,0.00944385
1157,AND,AGO,1.3423842400000001
1158,AND,AIA,0.8949542
1159,AND,ALB,0.32495114
1160,AND,AND,1.56157202
1161,AND,ARE,0.09865799
1162,AND,ARG,1.4232843000000002
1163,AND,ARM,0.86551256
1164,AND,ASM,0.8915810000000001
1165,AND,ATG,0.7769807000000001
1166,AND,AUS,0.7625660300000001
1167,AND,AUT,1.2232453200000002
1168,AND,AZE,0.031946379999999996
1169,AND,BDI,1.3332353600000002
1170,AND,BEL,1.17986465
1171,AND,BEN,0.58016213
1172,AND,BES,0.9413438000000001
1173,AND,BFA,0.47721600000000003
1174,AND,BGD,0.010801419999999999
1175,AND,BGR,0.75839608
1176,AND,BHR,0.12069410000000001
1177,AND,BHS,1.0004524000000001
1178,AND,BIH,0.60621728
1179,AND,BLR,0.60873778
1180,AND,BLZ,1.0280002200000002
1181,AND,BMU,0.7772187999999999
1182,AND,BOL,1.5496289200000002
1183,AND,BRA,1.3180727999999997
1184,AND,BRB,0.63518868
1185,AND,BRN,0.054643090000000005
1186,AND,BTN,0.01450907
1187,AND,BWA,0.7025656899999999
1188,AND,CAF,0.65261046
1189,AND,CAN,1.0686623599999998
1190,AND,CHE,1.1501781599999998
1191,AND,CHL,1.48258709
1192,AND,CHN,0.08648220000000001
1193,AND,CIV,0.58212748
1194,AND,CMR,0.67470577
1195,AND,COD,1.27743926
1196,AND,COG,1.16124142
1197,AND,COK,0.8857384
